word;repetition
representativas;2
específico;2
eleitorado;2
inativos;2
somatório;2
incluído;2
gasto;2
repasse;2
rendas;2
publicar;2
parcelamento;2
ficarão;2
exame;2
divisão;2
defensores;2
intervirá;2
entregar;2
compreendida;2
paga;2
aplicado;2
preencham;2
validade;2
prorrogável;2
improrrogável;2
assessoramento;2
fundacional;2
detentores;2
percebidos;2
cumulativamente;2
limitado;2
centésimos;2
computados;2
acumulados;2
acumulação;2
regulamentadas;2
abrange;2
fazendária;2
precedência;2
compras;2
assegure;2
cláusulas;2
qualificação;2
constar;2
implicará;2
periódica;2
usuários;2
ressarcimento;2
cabível;2
responderão;2
nessa;2
receberem;2
acumuláveis;2
eletivos;2
afastado;2
optar;2
previdenciário;2
instituirão;2
observará;2
manterão;2
convênios;2
remunerados;2
gratificação;2
prêmio;2
verba;2
treinamento;2
organizados;2
contributivo;2
atuarial;2
calculados;2
acidente;2
utilizadas;2
prejudiquem;2
reduzidos;2
comprove;2
reajustamento;2
contagem;2
expressa;2
devidamente;2
superem;2
voluntária;2
completar;2
beneficiário;2
estáveis;2
eventual;2
extinto;2
instituída;2
hierarquia;2
vier;2
patentes;2
articular;2
tarifas;2
devidos;2
recuperação;2
glebas;2
irrigação;2
presente;2
exigida;2
modificação;2
ouvidas;2
cambial;2
monetária;2
mobiliária;2
resolver;2
compromissos;2
ausência;2
dessas;2
normativos;2
iniciativas;2
alienação;2
assunto;2
importando;2
comparecer;2
encaminhar;2
proceder;2
tomada;2
secreta;2
chefes;2
proferida;2
cabíveis;2
penalmente;2
nesse;2
autos;2
recebida;2
denúncia;2
apreciado;2
recebidas;2
fora;2
incompatíveis;2
firmar;2
decoro;2
pertencer;2
levar;2
tratar;2
ocorrendo;2
reuniões;2
fevereiro;2
datas;2
deliberar;2
foi;2
pauta;2
resultar;2
omissões;2
regimentos;2
encaminhadas;2
promova;2
infratores;2
emendada;2
considerando;2
constante;2
rejeitada;2
modifiquem;2
distribuído;2
plurianuais;2
reservada;2
editada;2
períodos;2
mérito;2
apreciada;2
sobrestadas;2
ultime;2
apreciadas;2
rejeição;2
regidas;2
conversão;2
original;2
admitido;2
enviado;2
úteis;2
abrangerá;2
importará;2
conteúdo;2
subvenções;2
dinheiros;2
nome;2
daqueles;2
resulte;2
fundamento;2
inspeções;2
auditorias;2
verificada;2
atendido;2
irregularidades;2
apurados;2
adotado;2
decidirá;2
encaminhará;2
governamental;2
preste;2
esclarecimentos;2
entendendo;2
proporá;2
quadro;2
conhecimentos;2
econômicos;2
auditores;2
institucional;2
disporão;2
integrados;2
simultaneamente;2
presidencial;2
registrado;2
nulos;2
lugar;2
vago;2
vacância;2
últimos;2
autorizado;2
conferir;2
estará;2
pertinentes;2
minoria;2
inicial;2
bacharel;2
obedecendo;2
freqüência;2
reconhecidos;2
promovido;2
previsão;2
etapa;2
reconhecido;2
permuta;2
jurisdicionais;2
provendo;2
vagas;2
expediente;2
demanda;2
receberão;2
classes;2
indicações;2
escolherá;2
gozam;2
vitaliciedade;2
vinculado;2
exceções;2
secretarias;2
criarão;2
juizados;2
providos;2
togados;2
conciliação;2
habilitação;2
emolumentos;2
ajustados;2
desacordo;2
procederá;2
haver;2
extrapolem;2
pagamentos;2
fazendas;2
cronológica;2
proibida;2
designação;2
compreendem;2
fundadas;2
fracionamento;2
necessária;2
quantia;2
liquidação;2
enquadramento;2
momento;2
líquidos;2
compra;2
federado;2
mora;2
expressões;2
cessão;2
entende;2
agropecuárias;2
oriundas;2
verificado;2
deduzidas;2
média;2
financiada;2
endividamento;2
correção;2
declaratória;2
litígio;2
uns;2
solicitada;2
aquela;2
ordinário;2
recorrida;2
válida;2
contestado;2
descumprimento;2
proferidas;2
imprensa;2
acerca;2
escolhido;2
funcionais;2
regulamentares;2
recomendar;2
desconstituí;2
revê;2
adotem;2
avocar;2
rever;2
propondo;2
executivas;2
correição;2
designar;2
delegando;2
criará;2
ouvidorias;2
representando;2
elaborada;2
nestes;2
revisões;2
criminais;2
rescisórias;2
excetuados;2
homologação;2
exequatur;2
funcionarão;2
recrutados;2
instalarão;2
aforadas;2
domiciliado;2
processadas;2
julgadas;2
constituirá;2
localizadas;2
ajuizar;2
dissídio;2
possibilidade;2
plenas;2
diplomas;2
legitimação;2
patente;2
eficiente;2
incumbindo;2
impede;2
observando;2
procuradoria;2
organizará;2
defensorias;2
disciplinadas;2
restritos;2
grandes;2
coercitivas;2
prorrogado;2
determinada;2
executor;2
mental;2
apreciará;2
comoção;2
armada;2
designará;2
busca;2
efetuados;2
logo;2
cesse;2
nominal;2
regulares;2
preparo;2
punições;2
postos;2
tomar;2
proibidas;2
incolumidade;2
uniforme;2
prevenir;2
patrulhamento;2
ostensivo;2
maneira;2
tributação;2
efetividade;2
respeitados;2
geradores;2
tributários;2
favorecido;2
microempresas;2
recolhimento;2
compulsórios;2
iminência;2
alude;2
valorem;2
adotada;2
equiparada;2
instituiu;2
aumentou;2
musicais;2
produzidos;2
materiais;2
aplicáveis;2
expressas;2
incidam;2
isenção;2
presumido;2
remissão;2
destino;2
universalidade;2
progressividade;2
essencialidade;2
cumulativo;2
compensando;2
propriedades;2
ouro;2
extraordinários;2
intermunicipal;2
automotores;2
inventário;2
doador;2
anulação;2
internas;2
localizado;2
atribuída;2
remessa;2
revogados;2
integre;2
mantendo;2
incidindo;2
predial;2
inter;2
arrendamento;2
instituírem;2
mantiverem;2
neles;2
adicionado;2
produtivo;2
nordeste;2
entregue;2
decêndio;2
referido;2
objetivando;2
acompanhamento;2
quotas;2
arrecadados;2
incluída;2
resgate;2
regionalizada;2
prioridades;2
alterações;2
encerramento;2
apreciados;2
abrangendo;2
técnicos;2
restos;2
limitação;2
admitidos;2
inteiro;2
insuperável;2
setembro;2
meta;2
excedam;2
referem;2
transposição;2
viabilizar;2
feitas;2
adaptação;2
obedecidas;2
efetivação;2
trabalhistas;2
cooperativismo;2
levando;2
concessionárias;2
permissionárias;2
reduzida;2
básicos;2
contratar;2
radioativos;2
combustível;2
ambientais;2
aquático;2
executada;2
ordenar;2
atende;2
possuir;2
oposição;2
conferidos;2
adquiridos;2
usucapião;2
benfeitorias;2
isentas;2
creditícios;2
coletividade;2
regulado;2
beneficentes;2
produtor;2
pescador;2
artesanal;2
obra;2
contrapartida;2
esfera;2
gestores;2
comunitário;2
filantrópicas;2
medicamentos;2
vigilância;2
formulação;2
bebidas;2
facultativo;2
participante;2
ganhos;2
patrocinadoras;2
velhice;2
amparo;2
crianças;2
carentes;2
apoiados;2
ministrado;2
gratuidade;2
redes;2
didático;2
etapas;2
religioso;2
línguas;2
estudo;2
decenal;2
protegerá;2
democratização;2
imaterial;2
artísticas;2
espaços;2
ecológico;2
formais;2
desportiva;2
receberá;2
vistas;2
promotores;2
ecossistemas;2
genético;2
instalação;2
crueldade;2
convivência;2
prevenção;2
logradouros;2
edifícios;2
amparar;2
costumes;2
tradições;2
rotatividade;2
escravo;2
